"d","tot.tests","sens","Ds","p","Da","Ts","Ta","sim","median","lower","upper","objective"
0.6,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,13,20,14,28,"tot.hosp"
0.6,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,13,11,6,17,"death"
0.6,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,13,0,0,0,"sympiso"
0.6,0,1,0.0416666666666667,0.2,0.0416666666666667,24,24,13,0,0,0,"asympiso"
0,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,14,1469,1154,1802.05,"tot.cases"
0,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,14,11,7,16,"peak.hosp"
0,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,14,0,0,0,"days.above.thresh"
0,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,14,38,27,51,"tot.hosp"
0,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,14,19,12,27,"death"
0,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,14,851,682.95,1028.05,"sympiso"
0,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,14,19,13,27,"asympiso"
0.05,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,15,1256,971,1564,"tot.cases"
0.05,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,15,10,6,15,"peak.hosp"
0.05,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,15,0,0,0,"days.above.thresh"
0.05,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,15,35,24,46,"tot.hosp"
0.05,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,15,17,11,25,"death"
0.05,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,15,751,601,919,"sympiso"
0.05,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,15,19,12,26,"asympiso"
0.1,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,16,1070,824,1325,"tot.cases"
0.1,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,16,8,5,13,"peak.hosp"
