"d","tot.tests","sens","Ds","Da","Ts","Ta","sim","median","lower","upper","objective"
0,100,1,0.0416666666666667,0.0416666666666667,24,24,14,503,408,609,"sympiso"
0,100,1,0.0416666666666667,0.0416666666666667,24,24,14,22,15,31,"asympiso"
0.05,100,1,0.0416666666666667,0.0416666666666667,24,24,15,932,721,1160.05,"tot.cases"
0.05,100,1,0.0416666666666667,0.0416666666666667,24,24,15,6,4,10,"peak.hosp"
0.05,100,1,0.0416666666666667,0.0416666666666667,24,24,15,0,0,0,"days.above.thresh"
0.05,100,1,0.0416666666666667,0.0416666666666667,24,24,15,22,15,30,"tot.hosp"
0.05,100,1,0.0416666666666667,0.0416666666666667,24,24,15,11,7,17,"death"
0.05,100,1,0.0416666666666667,0.0416666666666667,24,24,15,450,364,543.05,"sympiso"
0.05,100,1,0.0416666666666667,0.0416666666666667,24,24,15,20,13,29,"asympiso"
0.1,100,1,0.0416666666666667,0.0416666666666667,24,24,16,804,608,1005,"tot.cases"
0.1,100,1,0.0416666666666667,0.0416666666666667,24,24,16,6,3,9,"peak.hosp"
0.1,100,1,0.0416666666666667,0.0416666666666667,24,24,16,0,0,0,"days.above.thresh"
0.1,100,1,0.0416666666666667,0.0416666666666667,24,24,16,20,14,28,"tot.hosp"
0.1,100,1,0.0416666666666667,0.0416666666666667,24,24,16,11,6,16,"death"
0.1,100,1,0.0416666666666667,0.0416666666666667,24,24,16,405,326,490,"sympiso"
0.1,100,1,0.0416666666666667,0.0416666666666667,24,24,16,19,12,27,"asympiso"
0.15,100,1,0.0416666666666667,0.0416666666666667,24,24,17,690,530,871,"tot.cases"
0.15,100,1,0.0416666666666667,0.0416666666666667,24,24,17,5,3,8,"peak.hosp"
0.15,100,1,0.0416666666666667,0.0416666666666667,24,24,17,0,0,0,"days.above.thresh"
0.15,100,1,0.0416666666666667,0.0416666666666667,24,24,17,18,12,26,"tot.hosp"
0.15,100,1,0.0416666666666667,0.0416666666666667,24,24,17,10,5,15,"death"
0.15,100,1,0.0416666666666667,0.0416666666666667,24,24,17,363,294,438,"sympiso"
0.15,100,1,0.0416666666666667,0.0416666666666667,24,24,17,17,11,25,"asympiso"
0.2,100,1,0.0416666666666667,0.0416666666666667,24,24,18,589.5,447,753,"tot.cases"
0.2,100,1,0.0416666666666667,0.0416666666666667,24,24,18,5,3,7,"peak.hosp"
0.2,100,1,0.0416666666666667,0.0416666666666667,24,24,18,0,0,0,"days.above.thresh"
0.2,100,1,0.0416666666666667,0.0416666666666667,24,24,18,17,11,24,"tot.hosp"
0.2,100,1,0.0416666666666667,0.0416666666666667,24,24,18,9,5,14,"death"
0.2,100,1,0.0416666666666667,0.0416666666666667,24,24,18,325,265,395,"sympiso"
0.2,100,1,0.0416666666666667,0.0416666666666667,24,24,18,15,9,23,"asympiso"
0.25,100,1,0.0416666666666667,0.0416666666666667,24,24,19,507,381,652,"tot.cases"
0.25,100,1,0.0416666666666667,0.0416666666666667,24,24,19,4,3,7,"peak.hosp"
0.25,100,1,0.0416666666666667,0.0416666666666667,24,24,19,0,0,0,"days.above.thresh"
0.25,100,1,0.0416666666666667,0.0416666666666667,24,24,19,16,10,22,"tot.hosp"
0.25,100,1,0.0416666666666667,0.0416666666666667,24,24,19,9,5,13,"death"
0.25,100,1,0.0416666666666667,0.0416666666666667,24,24,19,291,239,353,"sympiso"
0.25,100,1,0.0416666666666667,0.0416666666666667,24,24,19,14,8,21,"asympiso"
0.3,100,1,0.0416666666666667,0.0416666666666667,24,24,20,434,323,564,"tot.cases"
0.3,100,1,0.0416666666666667,0.0416666666666667,24,24,20,4,3,7,"peak.hosp"
0.3,100,1,0.0416666666666667,0.0416666666666667,24,24,20,0,0,0,"days.above.thresh"
0.3,100,1,0.0416666666666667,0.0416666666666667,24,24,20,14,9,21,"tot.hosp"
0.3,100,1,0.0416666666666667,0.0416666666666667,24,24,20,8,4,13,"death"
0.3,100,1,0.0416666666666667,0.0416666666666667,24,24,20,262,216,315,"sympiso"
0.3,100,1,0.0416666666666667,0.0416666666666667,24,24,20,13,7,19,"asympiso"
0.35,100,1,0.0416666666666667,0.0416666666666667,24,24,21,371,275,486,"tot.cases"
0.35,100,1,0.0416666666666667,0.0416666666666667,24,24,21,4,2,6,"peak.hosp"
0.35,100,1,0.0416666666666667,0.0416666666666667,24,24,21,0,0,0,"days.above.thresh"
0.35,100,1,0.0416666666666667,0.0416666666666667,24,24,21,13,8,19,"tot.hosp"
0.35,100,1,0.0416666666666667,0.0416666666666667,24,24,21,7,4,12,"death"
0.35,100,1,0.0416666666666667,0.0416666666666667,24,24,21,235,195,278.05,"sympiso"
0.35,100,1,0.0416666666666667,0.0416666666666667,24,24,21,12,6,18,"asympiso"
0.4,100,1,0.0416666666666667,0.0416666666666667,24,24,22,316,236,409,"tot.cases"
0.4,100,1,0.0416666666666667,0.0416666666666667,24,24,22,4,2,6,"peak.hosp"
0.4,100,1,0.0416666666666667,0.0416666666666667,24,24,22,0,0,0,"days.above.thresh"
0.4,100,1,0.0416666666666667,0.0416666666666667,24,24,22,12,8,18,"tot.hosp"
0.4,100,1,0.0416666666666667,0.0416666666666667,24,24,22,7,4,11,"death"
0.4,100,1,0.0416666666666667,0.0416666666666667,24,24,22,212,178,249,"sympiso"
