"d","tot.tests","sens","Ds","rho","Da","Ts","Ta","sim","median","lower","upper","objective"
0,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,14,531,404,684,"tot.cases"
0,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,14,5,3,7,"peak.hosp"
0,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,14,0,0,0,"days.above.thresh"
0,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,14,16,10,23,"tot.hosp"
0,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,14,9,5,14,"death"
0,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,14,303,247,368,"sympiso"
0,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,14,14,8,22,"asympiso"
0.05,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,15,472,352.95,614,"tot.cases"
0.05,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,15,4,3,7,"peak.hosp"
0.05,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,15,0,0,0,"days.above.thresh"
0.05,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,15,15,10,21,"tot.hosp"
0.05,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,15,8,4,13,"death"
0.05,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,15,278,228,334,"sympiso"
0.05,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,15,14,8,20,"asympiso"
0.1,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,16,421,315.95,552,"tot.cases"
0.1,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,16,4,3,7,"peak.hosp"
0.1,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,16,0,0,0,"days.above.thresh"
0.1,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,16,14,9,20,"tot.hosp"
0.1,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,16,8,4,12,"death"
0.1,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,16,257,213,305,"sympiso"
0.1,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,16,12,7,19,"asympiso"
0.15,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,17,376,277,492,"tot.cases"
0.15,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,17,4,2,6,"peak.hosp"
0.15,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,17,0,0,0,"days.above.thresh"
0.15,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,17,13,9,19,"tot.hosp"
0.15,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,17,8,4,12,"death"
0.15,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,17,237,196,280,"sympiso"
0.15,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,17,12,6,18,"asympiso"
0.2,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,18,334,248,441,"tot.cases"
0.2,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,18,4,2,6,"peak.hosp"
0.2,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,18,0,0,0,"days.above.thresh"
0.2,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,18,13,8,18,"tot.hosp"
0.2,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,18,7,4,12,"death"
0.2,100,1,0.0416666666666667,0.5,0.0416666666666667,24,24,18,220,184,260,"sympiso"
